Title,Price,Reduction,Rooms,Bathrooms,Meters,Province
Piso con terraza en  Barcelona Capital ,575.000 €, 45.000 €,3 habs.,3 baños,135 m²,barcelona
"Dúplex en C/ Joaquim Auger, Sant Boi de Llobregat ",190.000 €, 14.300 €,2 habs.,2 baños,77 m²,barcelona
Piso con terraza en  Barcelona Capital ,725.000 €,-,2 habs.,2 baños,128 m²,barcelona
Ático con terraza en Castelldefels ,370.000 €,-,4 habs.,1 baño,87 m²,barcelona
Casa o chalet con piscina en Sant Pol de Mar ,560.000 €,-,7 habs.,4 baños,280 m²,barcelona
"Piso con terraza en Calvet,  Barcelona Capital ",1.700.000 €,-,5 habs.,4 baños,346 m²,barcelona
"Piso con terraza en Sor Rita Mercader, Igualada ",279.000 €, 16.000 €,3 habs.,2 baños,125 m²,barcelona
"Piso con ascensor en Moreres, Sabadell ",117.000 €,-,3 habs.,1 baño,89 m²,barcelona
"Piso con balcón en Gran Via de Les Corts Catalanes,  Barcelona Capital ",660.000 €, 40.000 €,4 habs.,2 baños,147 m²,barcelona
Piso con terraza en Terrassa ,330.000 €,-,4 habs.,2 baños,217 m²,barcelona
Piso con terraza en Santa Perpètua de Mogoda ,264.900 €,-,3 habs.,1 baño,94 m²,barcelona
"Casa adosada con terraza en Carrer de Les Margarides, Viladecans ",636.300 €,-,7 habs.,4 baños,246 m²,barcelona
"Casa o chalet con terraza en Moret, Sitges ",749.000 €,-,4 habs.,3 baños,178 m²,barcelona
"Casa adosada con terraza en Escriptor Josep Roig I Raventos, Sitges ",890.000 €,-,4 habs.,3 baños,221 m²,barcelona
"Piso en C/ Colón, Calella ",185.000 €, 26.600 €,2 habs.,2 baños,60 m²,barcelona
Casa o chalet con piscina en Vallirana ,269.000 €,-,3 habs.,1 baño,153 m²,barcelona
"Casa o chalet con 3 baños en Pere Quart, Castell-Platja d'Aro ",1.450.000 €,-,4 habs.,3 baños,280 m²,girona
"Casa o chalet con piscina en Can Semís, Castell-Platja d'Aro ",779.000 €, 71.000 €,4 habs.,3 baños,381 m²,girona
"Piso en Maritim, 18, Castell-Platja d'Aro ",669.000 €, 66.000 €,3 habs.,2 baños,140 m²,girona
"Casa o chalet con piscina en Carrer del Pi, Castell-Platja d'Aro ",1.420.000 €,-,5 habs.,5 baños,240 m²,girona
"Piso con terraza en Carrer Príncep, Girona Capital ",346.000 €,-,3 habs.,2 baños,108 m²,girona
"Piso con terraza en Hortes, Girona Capital ",330.000 €, 10.000 €,3 habs.,2 baños,106 m²,girona
"Casa o chalet en Xiprer, 23, Calonge ",475.000 €,-,5 habs.,6 baños,425 m²,girona
"Piso con piscina en Passeig Dels Guixols, Sant Feliu de Guíxols ",330.000 €,-,2 habs.,2 baños,104 m²,girona
Ático con terraza en Girona Capital ,278.000 €, 7.000 €,3 habs.,1 baño,86 m²,girona
"Piso con terraza en Gran Via Jaume I, Girona Capital ",470.000 €,-,3 habs.,2 baños,131 m²,girona
"Planta baja con terraza en Avinguda Castell D'aro, Castell-Platja d'Aro ",395.000 €,-,4 habs.,2 baños,133 m²,girona
"Piso con terraza en Rutlla, Girona Capital ",230.000 €,-,2 habs.,2 baños,68 m²,girona
"Casa adosada con piscina en Grumet, Sant Feliu de Guíxols ",1.890.000 €,-,8 habs.,6 baños,464 m²,girona
"Piso con balcón en La Salle, Girona Capital ",580.000 €,-,4 habs.,3 baños,218 m²,girona
"Piso con 2 baños en De la Unió, Calonge ",235.000 €,-,3 habs.,2 baños,110 m²,girona
"Ático con ascensor en Orquídies, Castell-Platja d'Aro ",1.325.000 €,-,3 habs.,2 baños,140 m²,girona
Casa o chalet con calefacción en Fontanals de Cerdanya ,690.000 €,-,4 habs.,3 baños,165 m²,girona
Ático con 2 baños en Calonge ,378.000 €,-,3 habs.,2 baños,90 m²,girona
Apartamento con 1 baño en Castell-Platja d'Aro ,220.000 €,-,2 habs.,1 baño,52 m²,girona
Piso con 2 baños en Puigcerdà ,114.000 €, 6.000 €,3 habs.,2 baños,76 m²,girona
"Piso en Carrer de Roma, 14, Castell-Platja d'Aro ",290.000 €,-,-,-,-,girona
Apartamento con calefacción en Palamós ,176.000 €,-,2 habs.,1 baño,65 m²,girona
